,GSVA_score,AveExpr,t,P.Value,adj.P.Val,B,logP
MIR_6988_3P,0.433867467,-0.037187559,4.485468583,0.000116005,0.479705757,-1.963282378,3.935522691
chr7D2,-0.384314266,0.017335245,-4.326122965,0.000178452,0.479705757,-2.097410601,3.74847977
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL,0.643371237,-0.02494054,4.242914778,0.000223308,0.479705757,-2.168174721,3.651095376
GOBP_NEGATIVE_REGULATION_OF_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,0.637857945,-0.07497683,4.240217146,0.000224936,0.479705757,-2.17047668,3.647941991
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_TUMOR_CELL,0.63695781,-0.032983998,4.231787182,0.000230097,0.479705757,-2.177673238,3.638089468
MIR_1948_5P,0.39379541,-0.014772242,3.985498397,0.000445138,0.707025792,-2.389792287,3.351505322
MIR_547_5P,0.445699042,-0.040677085,3.961301544,0.000474787,0.707025792,-2.410805509,3.323501106
chr1F,0.540452741,-0.021768358,3.815559521,0.000699013,0.788607934,-2.53789803,3.155514492
GOMF_MRNA_3_UTR_AU_RICH_REGION_BINDING,0.455872739,-0.044014866,3.79156713,0.000744762,0.788607934,-2.558895983,3.12798241
GOBP_NEGATIVE_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS,0.583513731,-0.076709872,3.749016603,0.000833208,0.788607934,-2.596179907,3.079246387
GOCC_BRUSH_BORDER_MEMBRANE,-0.332869845,0.059506504,-3.657349609,0.001060039,0.788607934,-2.676663048,2.974678098
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL,0.599635255,-0.014435099,3.639215426,0.001111568,0.788607934,-2.692606285,2.954064106
GOBP_LOCOMOTORY_EXPLORATION_BEHAVIOR,0.604585431,-0.021570557,3.572090602,0.001324399,0.788607934,-2.751666757,2.877981043
GOBP_MRNA_MODIFICATION,0.360797484,-0.04190592,3.533103675,0.001465692,0.788607934,-2.785994197,2.833957385
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3,0.550941055,-0.049301433,3.522664609,0.001505944,0.788607934,-2.795187668,2.82219122
GOBP_SUPPRESSION_OF_VIRAL_RELEASE_BY_HOST,0.402822937,-0.043640094,3.516796952,0.001529038,0.788607934,-2.800355476,2.815581681
GOCC_MRNA_EDITING_COMPLEX,0.57990897,-0.065073843,3.497926488,0.001605664,0.788607934,-2.816976308,2.794345347
GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN,-0.43164642,0.009620814,-3.44350873,0.001848075,0.788607934,-2.864910422,2.733280362
CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN,-0.526904082,0.110551547,-3.443126404,0.001849898,0.788607934,-2.865247187,2.732852275
chr10A3,0.357954496,-0.033149938,3.386235155,0.002141395,0.788607934,-2.915350967,2.669303229
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS,-0.569865322,0.163165671,-3.377045316,0.002192468,0.788607934,-2.923442177,2.659066703
GOBP_NEGATIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,0.560657936,-0.044611117,3.376631174,0.002194797,0.788607934,-2.923806789,2.658605584
GOMF_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY,0.343012841,-0.038454918,3.326112572,0.002497567,0.788607934,-2.968267983,2.602482932
GOBP_HISTONE_H3_DEACETYLATION,0.607711815,-0.029099709,3.305567134,0.002631894,0.788607934,-2.986339059,2.579731552
MIR_5626_5P,0.327782499,0.004449286,3.297034311,0.002689705,0.788607934,-2.99384201,2.570295279
GOMF_TBP_CLASS_PROTEIN_BINDING,0.466477595,-0.031395589,3.288575887,0.002748219,0.788607934,-3.001278141,2.560948722
MEISSNER_BRAIN_HCP_WITH_H3_UNMETHYLATED,-0.506321013,0.209750766,-3.233610907,0.003159393,0.788607934,-3.049561025,2.50039641
GOBP_MRNA_METHYLATION,0.419487327,-0.050050012,3.20940896,0.00335863,0.788607934,-3.070795916,2.473837785
REACTOME_NEGATIVE_REGULATION_OF_FGFR3_SIGNALING,0.553252282,-0.040915883,3.20128705,0.003428155,0.788607934,-3.077918243,2.464939512
GOBP_DETECTION_OF_TEMPERATURE_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN,-0.519938248,0.084766657,-3.188259126,0.003542569,0.788607934,-3.089338466,2.450681676
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,0.528337575,-0.025646441,3.182159596,0.003597387,0.788607934,-3.094683392,2.444012886
GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING,0.272959147,-0.028746259,3.179921612,0.003617703,0.788607934,-3.096644192,2.441567091
GOCC_POTASSIUM_CHANNEL_COMPLEX,-0.390412058,0.116839581,-3.154234856,0.003858903,0.788607934,-3.11913703,2.413536139
GOBP_TRANSLATIONAL_TERMINATION,0.411714905,-0.07354289,3.144005691,0.003959181,0.788607934,-3.128087592,2.402394644
REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING,0.495504998,-0.020152991,3.138383573,0.004015353,0.788607934,-3.133005264,2.39627629
chr16B5,0.35558942,-0.023071606,3.132509768,0.004074854,0.788607934,-3.138141766,2.38988799
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING,0.64190275,-0.051132086,3.131316915,0.00408704,0.788607934,-3.13918472,2.388591149
GOMF_LONG_CHAIN_FATTY_ACID_TRANSPORTER_ACTIVITY,-0.465081736,0.044973953,-3.130260499,0.004097861,0.788607934,-3.140108334,2.38744278
MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP,0.286558162,-0.024785346,3.111846292,0.004290946,0.788607934,-3.156200359,2.367446973
GOBP_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION,0.313085399,-0.00705586,3.100667947,0.004412368,0.788607934,-3.165962029,2.355328257
GOBP_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,0.387319433,-0.040214617,3.093096659,0.004496467,0.788607934,-3.172570662,2.347128588
GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,-0.398443207,0.144952475,-3.088234004,0.004551284,0.788607934,-3.176813693,2.341866018
GOBP_REGULATION_OF_MYOBLAST_PROLIFERATION,0.413290261,-0.025003315,3.087910167,0.004554958,0.788607934,-3.177096227,2.34151565
REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING,0.45177557,-0.016179826,3.081589755,0.004627219,0.788607934,-3.182609549,2.334679984
GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY,-0.498072771,0.177666391,-3.077615621,0.004673214,0.788607934,-3.186075252,2.330384369
GOBP_SEMINIFEROUS_TUBULE_DEVELOPMENT,0.450672326,-0.055424287,3.076806147,0.004682635,0.788607934,-3.186781075,2.329509651
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE,0.498005437,-0.03979887,3.073295008,0.004723714,0.788607934,-3.189842263,2.325716445
GOBP_BASEMENT_MEMBRANE_ORGANIZATION,-0.282570448,0.042595156,-3.04771188,0.005033567,0.788607934,-3.212128815,2.298124105
GOCC_VOLTAGE_GATED_POTASSIUM_CHANNEL_COMPLEX,-0.37511327,0.109545774,-3.046012876,0.005054817,0.788607934,-3.21360773,2.296294554
GOCC_BLOC_1_COMPLEX,0.391393759,-0.022894055,3.024894555,0.005326183,0.788607934,-3.231977807,2.273583912
GOCC_METHYLOSOME,0.638942689,-0.040209285,3.010868062,0.005514026,0.788607934,-3.244165678,2.258531152
BIOCARTA_MTA3_PATHWAY,0.403336063,-0.02043526,3.001591006,0.00564171,0.788607934,-3.252220638,2.248589211
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,-0.461260022,0.016004977,-2.997287294,0.005701894,0.788607934,-3.255955739,2.243980831
GOBP_REGULATION_OF_MRNA_3_END_PROCESSING,0.490549696,-0.06557485,2.996518844,0.005712705,0.788607934,-3.256622548,2.243158233
GOBP_RESPONSE_TO_TUMOR_CELL,0.359453125,-0.031418349,2.995623326,0.005725327,0.788607934,-3.257399575,2.242199711
MIR_7017_5P,0.356102309,-0.065347914,2.98577454,0.005865906,0.788607934,-3.265942108,2.231664905
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,0.430063365,-0.01504742,2.977736694,0.005983061,0.788607934,-3.272909613,2.223076583
GOBP_NUCLEAR_PORE_ORGANIZATION,0.495413299,-0.066631635,2.975508784,0.006015925,0.788607934,-3.274840158,2.220697596
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY,0.312525261,-0.037228989,2.968691465,0.006117556,0.788607934,-3.280745665,2.213422057
MIR_7046_3P,0.298450208,0.015577828,2.964419859,0.006182064,0.788607934,-3.284444484,2.208866471
GOBP_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,0.442708284,-0.011615146,2.94640278,0.006461326,0.788607934,-3.300032938,2.189678355
GOBP_EXPLORATION_BEHAVIOR,0.318865506,-0.011391335,2.944984258,0.006483814,0.788607934,-3.301259364,2.18816948
GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS,0.457389687,-0.056671245,2.932418164,0.006686289,0.788607934,-3.31211798,2.174814851
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,0.37217937,-0.057586031,2.927219342,0.006771797,0.788607934,-3.316607309,2.169296054
GOBP_REGULATION_OF_T_CELL_CHEMOTAXIS,0.391080416,-0.047431508,2.918904388,0.006910715,0.788607934,-3.323783692,2.160476993
chr19C2,0.357334181,-0.03810694,2.912679271,0.007016481,0.788607934,-3.329153286,2.153880663
GOBP_IMMUNE_RESPONSE_TO_TUMOR_CELL,0.397776369,-0.019492805,2.909347572,0.007073714,0.788607934,-3.332025997,2.150352479
GOBP_CELLULAR_RESPONSE_TO_IONIZING_RADIATION,0.278889062,-0.0434605,2.906570691,0.007121755,0.788607934,-3.33441973,2.147413001
GOMF_LIPASE_ACTIVATOR_ACTIVITY,0.512021364,-0.090878805,2.905944021,0.007132639,0.788607934,-3.334959857,2.146749784
MP_INCREASED_HEPATOMA_INCIDENCE,0.349790787,-0.044083212,2.90363981,0.007172794,0.788607934,-3.336945621,2.144311661
GOCC_CIS_GOLGI_NETWORK_MEMBRANE,0.376656857,0.022997437,2.892960611,0.007361708,0.788607934,-3.346143975,2.133021438
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS,0.48254431,-0.049751335,2.883476075,0.007533425,0.788607934,-3.354306387,2.123007552
GOBP_HEART_TRABECULA_FORMATION,-0.359851544,0.051631015,-2.876214949,0.007667439,0.788607934,-3.360550836,2.11534969
GOMF_PURINE_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.292747639,-0.042646634,-2.875878288,0.007673707,0.788607934,-3.360840264,2.114994814
REACTOME_MUSCLE_CONTRACTION,-0.24612468,0.05277268,-2.873019345,0.007727129,0.788607934,-3.363297753,2.111981835
GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION,0.438621045,-0.019771342,2.872683562,0.007733427,0.788607934,-3.363586345,2.111628036
GOCC_EUCHROMATIN,0.337638169,-0.051029654,2.870734647,0.007770074,0.788607934,-3.36526119,2.10957487
GOMF_PLATELET_DERIVED_GROWTH_FACTOR_BINDING,-0.428709036,0.094507746,-2.863202438,0.007913256,0.788607934,-3.371731448,2.101644805
GOBP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS,0.384543194,-0.027924412,2.858269146,0.008008381,0.788607934,-3.375966845,2.096455299
GOBP_LABYRINTHINE_LAYER_MORPHOGENESIS,0.391259976,-0.061815861,2.856405871,0.008044589,0.788607934,-3.377566038,2.094496156
REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS,0.321519397,-0.048096006,2.851005557,0.008150405,0.788607934,-3.382199436,2.088820789
GOCC_RNA_POLYMERASE_II_HOLOENZYME,0.301182274,-0.051043146,2.848745884,0.008195071,0.788607934,-3.384137526,2.086447262
GOBP_POSITIVE_REGULATION_OF_ASTROCYTE_DIFFERENTIATION,0.44910378,-0.07464378,2.84623422,0.008244989,0.788607934,-3.38629127,2.083809909
REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION,0.369414089,-0.045659796,2.841094855,0.008348026,0.788607934,-3.390696698,2.078416185
GOCC_CILIARY_PLASM,-0.27352209,0.02604327,-2.83631605,0.008444923,0.788607934,-3.394791158,2.07340428
GOBP_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE,0.265432296,-0.017259236,2.835511105,0.008461349,0.788607934,-3.395480651,2.072560396
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,-0.266292767,0.062737755,-2.830549105,0.008563269,0.788607934,-3.399729793,2.067360434
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,-0.466934672,0.133566362,-2.827146476,0.008633826,0.788607934,-3.402642427,2.06379669
GOBP_PEPTIDYL_LYSINE_TRIMETHYLATION,0.390961738,-0.044049851,2.825644993,0.008665135,0.788607934,-3.403927387,2.062224647
GOBP_POSITIVE_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT,0.350349218,-0.01761454,2.820582864,0.008771481,0.788607934,-3.408258154,2.056927051
GOBP_GOLGI_TO_VACUOLE_TRANSPORT,-0.351447731,-0.051198968,-2.819922771,0.008785439,0.788607934,-3.408822722,2.056236529
GOBP_CARDIOBLAST_DIFFERENTIATION,0.364779697,-0.046429801,2.807671898,0.009048311,0.788607934,-3.419294087,2.043432499
GOBP_GROWTH_PLATE_CARTILAGE_DEVELOPMENT,-0.273891595,0.058515915,-2.806697657,0.00906953,0.788607934,-3.42012627,2.042415215
chr6B3,-0.229099432,0.044199717,-2.803442689,0.009140765,0.788607934,-3.422906029,2.039017454
MIR_16_2_3P,0.307853156,-0.033597147,2.799268978,0.009232877,0.788607934,-3.426469071,2.034662934
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY,0.311644331,-0.05226499,2.798581348,0.009248137,0.788607934,-3.427055947,2.033945762
SOX15_TARGET_GENES,0.330407792,0.006791577,2.794769694,0.009333153,0.788607934,-3.430308365,2.029971626
MEISSNER_NPC_ICP_WITH_H3_UNMETHYLATED,-0.483236475,0.113229619,-2.790844513,0.009421469,0.788607934,-3.433656332,2.025881378
LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_KINASES_DN,0.281209547,-0.027752087,2.784571252,0.00956425,0.788607934,-3.43900428,2.019349066
GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,-0.310099951,0.053303563,-2.781750425,0.009629114,0.788607934,-3.441407899,2.016413671
GOMF_ISOPRENOID_BINDING,-0.428103322,0.115593136,-2.765673904,0.010006749,0.788607934,-3.455093048,1.999706995
GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX,0.341664487,-0.063668188,2.765567975,0.010009283,0.788607934,-3.455183143,1.999597042
PHC1_TARGET_GENES,-0.382568479,0.059468496,-2.760168264,0.010139242,0.788607934,-3.459774332,1.993994511
MIR_5624_5P,0.25289261,-0.022686218,2.754852182,0.010268735,0.788607934,-3.46429179,1.98848307
MP_INCREASED_METASTATIC_POTENTIAL,0.2759531,-0.0452543,2.754444208,0.010278736,0.788607934,-3.464638366,1.988060282
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,0.306067006,-0.042278751,2.754325765,0.010281642,0.788607934,-3.464738981,1.987937543
MODY_HIPPOCAMPUS_NEONATAL,0.287157012,-0.025844945,2.753530348,0.010301173,0.788607934,-3.46541464,1.987113328
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING,0.296419919,-0.037078289,2.753259119,0.010307841,0.788607934,-3.465645019,1.986832302
chr7B2,-0.407288523,0.036926598,-2.748990752,0.010413309,0.788607934,-3.469269622,1.982411227
GOBP_REGULATION_OF_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,0.511479707,-0.050583345,2.748670568,0.010421262,0.788607934,-3.469541446,1.9820797
STEGER_ADIPOGENESIS_DN,-0.37565806,0.106199346,-2.747921555,0.010439887,0.788607934,-3.470177293,1.981304214
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER,-0.529568467,0.084170913,-2.743133109,0.010559697,0.788607934,-3.474241016,1.976348549
GOBP_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION,0.447954309,-0.036852758,2.741077918,0.010611514,0.788607934,-3.475984492,1.974222667
GOBP_FOREBRAIN_NEURON_DIFFERENTIATION,0.276222107,0.021494687,2.733544149,0.010803505,0.788607934,-3.482372156,1.966435309
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.293088318,-0.009962621,2.732384164,0.010833354,0.788607934,-3.483355191,1.965237055
GOBP_REGULATION_OF_NON_MOTILE_CILIUM_ASSEMBLY,0.378206556,-0.047760224,2.730751076,0.010875508,0.788607934,-3.484738937,1.963550443
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MATURATION,0.286881853,-0.054786912,2.729020461,0.010920347,0.788607934,-3.48620504,1.961763557
GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION,0.29932491,-0.038110408,2.727104966,0.010970178,0.788607934,-3.487827426,1.959786319
REACTOME_POTASSIUM_CHANNELS,-0.306958834,0.097582731,-2.727079518,0.010970842,0.788607934,-3.487848978,1.959760054
