,GSVA_score,AveExpr,t,P.Value,adj.P.Val,B,logP
GOBP_EYELID_DEVELOPMENT_IN_CAMERA_TYPE_EYE,0.54186512,-0.074400907,4.339774376,0.000178811,0.998803434,-2.303957728,3.747605348
GOBP_CYTOLYSIS,-0.608640815,0.020146368,-4.248264457,0.00022834,0.998803434,-2.373792601,3.641418133
chr1H5,-0.326153746,0.097200751,-3.655310751,0.001091772,0.998803434,-2.837712103,2.961867906
GOBP_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_CELL_PROLIFERATION,0.393101576,-0.009933283,3.589292924,0.001295728,0.998803434,-2.890209372,2.887486065
GOMF_WIDE_PORE_CHANNEL_ACTIVITY,-0.473495528,0.085419317,-3.510424115,0.001588316,0.998803434,-2.953033813,2.799063
GOMF_DNA_REPLICATION_ORIGIN_BINDING,0.667398354,-0.046634431,3.406282522,0.002074445,0.998803434,-3.036095968,2.683098015
KONG_E2F1_TARGETS,0.426867819,-0.017382258,3.314014861,0.002623158,0.998803434,-3.109706389,2.581175591
GOBP_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS,-0.429130303,0.051870268,-3.281151458,0.002850542,0.998803434,-3.13591254,2.545072581
GOBP_MELANOCYTE_DIFFERENTIATION,0.346559672,0.008547143,3.268881888,0.002940212,0.998803434,-3.145693642,2.531621389
MP_INCREASED_ADENOMA_INCIDENCE,0.487769754,-0.055276736,3.258747241,0.003016322,0.998803434,-3.153771368,2.520522336
GOBP_LYSOSOMAL_MICROAUTOPHAGY,0.508781873,-0.054554603,3.254893208,0.00304576,0.998803434,-3.156842819,2.516304333
GOBP_PROTECTION_FROM_NON_HOMOLOGOUS_END_JOINING_AT_TELOMERE,0.462430386,-0.001152644,3.249113339,0.003090427,0.998803434,-3.161448651,2.509981505
BURTON_ADIPOGENESIS_PEAK_AT_2HR,0.441601744,-0.039613034,3.229154967,0.003249563,0.998803434,-3.177348974,2.488175074
GOBP_REGULATION_OF_MONOCYTE_DIFFERENTIATION,0.408170818,-0.018271463,3.227106966,0.003266331,0.998803434,-3.178980189,2.485939808
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION,0.465254693,-0.04948753,3.186980203,0.003612148,0.998803434,-3.210924777,2.442234497
GOBP_MONOCYTE_DIFFERENTIATION,0.362010942,-0.010149414,3.173968796,0.00373164,0.998803434,-3.221275772,2.428100265
GOBP_GRANZYME_MEDIATED_PROGRAMMED_CELL_DEATH_SIGNALING_PATHWAY,-0.566702235,-0.018564837,-3.167762742,0.003789961,0.998803434,-3.226211497,2.421365237
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3,0.445655301,-0.047131734,3.164182608,0.003824002,0.998803434,-3.229058382,2.417481894
GOBP_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS,0.339487933,0.021913499,3.132590991,0.004137357,0.998803434,-3.254165355,2.383277051
GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS,0.485727187,-0.040336452,3.129424248,0.00417009,0.998803434,-3.256680573,2.379854594
MP_DECREASED_METASTATIC_POTENTIAL,0.380042245,-0.027403907,3.12412212,0.004225451,0.998803434,-3.260891194,2.374126893
GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY,0.258942415,-0.041838969,3.109853562,0.00437795,0.998803434,-3.272218232,2.358729154
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,0.518262395,0.042747694,3.108776289,0.004389675,0.998803434,-3.273073167,2.357567586
GOCC_EXOCYST,-0.326916292,0.00594729,-3.093772308,0.004556133,0.998803434,-3.284976646,2.34140363
GOMF_ATPASE_COUPLED_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY,0.449424984,-0.075660402,3.072075638,0.004807547,0.998803434,-3.302176514,2.318076465
