,GSVA_score,AveExpr,t,P.Value,adj.P.Val,B,logP
GOCC_IMMUNOGLOBULIN_COMPLEX,0.928855408,-0.031059186,5.214087529,1.64E-05,0.08975254,-1.421842533,4.784781758
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_3,0.691405455,-0.04179336,5.46876888,8.26E-06,0.08975254,-1.233235303,5.083206189
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_DN,0.668498521,-0.035992462,3.852133633,0.00064098,0.809377393,-2.53098314,3.193155802
GOBP_SPINDLE_ELONGATION,0.613503504,-0.061196873,2.321297872,0.027939553,0.99991655,-3.829128682,1.553780547
MARSON_FOXP3_TARGETS_STIMULATED_DN,0.57465845,-0.059891834,2.882326187,0.007587402,0.99991655,-3.36842775,2.119906898
chrXF5,0.56150805,-0.028718997,4.230946213,0.000233664,0.676682159,-2.208552156,3.631408696
GOCC_MCM_COMPLEX,0.533935946,-0.015539052,2.425683419,0.02212902,0.99991655,-3.746344634,1.655037827
GOBP_TOLL_LIKE_RECEPTOR_7_SIGNALING_PATHWAY,0.532468798,-0.039463681,2.60764137,0.01458055,0.99991655,-3.598453374,1.836226088
GOCC_MITOTIC_SPINDLE_MIDZONE,0.520909457,-0.021426034,2.798817152,0.009279745,0.99991655,-3.439068436,2.032463958
KONG_E2F1_TARGETS,0.507117194,-0.003760281,3.096588009,0.004481559,0.99991655,-3.185102583,2.348570839
GOCC_ENDOLYSOSOME,0.504401336,-0.046252902,2.885416132,0.007530757,0.99991655,-3.3658039,2.123161339
GOBP_INTERLEUKIN_1_ALPHA_PRODUCTION,0.495252279,-0.028160141,2.995152116,0.005759993,0.99991655,-3.272213411,2.239578045
GOBP_DOUBLE_STRAND_BREAK_REPAIR_INVOLVED_IN_MEIOTIC_RECOMBINATION,0.493003841,-0.025401339,2.36242123,0.025501897,0.99991655,-3.796712046,1.593427511
chr3H4,0.484792179,0.00569154,3.57228435,0.001334597,0.809377393,-2.772911116,2.874650008
GOMF_LYSINE_ACETYLATED_HISTONE_BINDING,0.479864444,-0.010500669,2.417579807,0.022536965,0.99991655,-3.752829076,1.647104575
GOBP_POSITIVE_REGULATION_OF_RIG_I_SIGNALING_PATHWAY,0.472909716,-0.016150449,2.824188021,0.008731237,0.99991655,-3.417664679,2.058924201
