,GSVA_score,AveExpr,t,P.Value,adj.P.Val,B
GOBP_REGULATION_OF_MITOCHONDRIAL_FUSION,0.879955638,-0.104279794,7.793528576,5.34E-10,5.91E-06,12.67221367
MIR_3084_5P,0.373636922,-0.023844218,7.584530483,1.10E-09,5.92E-06,11.98802842
MIR_7032_3P,0.43609525,-0.053011534,7.382260248,2.21E-09,5.92E-06,11.32291087
GOBP_N_ACETYLNEURAMINATE_METABOLIC_PROCESS,0.842078202,-0.093133001,7.344416519,2.52E-09,5.92E-06,11.19818442
GOBP_INTRACELLULAR_LIPID_TRANSPORT,0.605379718,-0.071005477,7.302035487,2.93E-09,5.92E-06,11.05840579
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM,0.409733049,-0.062042829,7.275486794,3.21E-09,5.92E-06,10.97079364
BIOCARTA_ARF_PATHWAY,0.676777268,-0.104674308,7.138465841,5.16E-09,7.19E-06,10.51804155
GOBP_UBIQUITIN_RECYCLING,0.823396989,-0.099724781,7.099100735,5.92E-09,7.19E-06,10.38780572
GOBP_INTRACELLULAR_STEROL_TRANSPORT,0.586424115,-0.06690876,7.032323104,7.47E-09,7.19E-06,10.1667298
MEISSNER_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3,-0.671820173,0.097788436,-6.994452713,8.53E-09,7.19E-06,10.04127847
MIR_344G_3P_MIR_7070_3P,0.44406703,-0.03245621,6.991241431,8.62E-09,7.19E-06,10.03063823
MP_INCREASED_LIVER_TUMOR_INCIDENCE,0.526697679,-0.051679165,6.988407172,8.71E-09,7.19E-06,10.02124692
MIR_6976_3P,0.587139084,-0.080319998,6.962827406,9.52E-09,7.19E-06,9.936475874
GOMF_RACEMASE_AND_EPIMERASE_ACTIVITY,0.706947724,-0.070275535,6.92181811,1.10E-08,7.19E-06,9.800526739
MIR_6949_3P,0.344683227,-0.032300868,6.907882236,1.15E-08,7.19E-06,9.754316355
GOBP_CENTROSOME_SEPARATION,0.75023902,-0.115139501,6.902706457,1.17E-08,7.19E-06,9.737152375
GOBP_MITOCHONDRIAL_FISSION,0.49005882,-0.052639128,6.892297609,1.22E-08,7.19E-06,9.702632093
MIR_7678_5P,0.473388827,-0.062150766,6.882967693,1.26E-08,7.19E-06,9.671687425
GOBP_PROTEIN_HYDROXYLATION,0.712782331,-0.093187906,6.87396777,1.30E-08,7.19E-06,9.641834985
GOBP_TETRAPYRROLE_METABOLIC_PROCESS,0.530347561,-0.070078618,6.873415892,1.30E-08,7.19E-06,9.640004353
MIR_3971,0.485555165,-0.046204573,6.842034573,1.45E-08,7.32E-06,9.535896484
GOMF_TRANSITION_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.687539937,-0.071188624,6.825601495,1.54E-08,7.32E-06,9.481369809
MIR_138_1_3P,0.620384516,-0.077236556,6.822469453,1.55E-08,7.32E-06,9.470976641
MIR_191_3P,0.504142039,-0.072059156,6.814118616,1.60E-08,7.32E-06,9.443264667
GOBP_TETRAPYRROLE_BIOSYNTHETIC_PROCESS,0.561504259,-0.088025636,6.804311273,1.65E-08,7.32E-06,9.410717333
GOMF_TRANSLATION_REPRESSOR_ACTIVITY,0.570165177,-0.070673144,6.774880983,1.83E-08,7.64E-06,9.313035699
MIR_6362,0.495764098,-0.085530612,6.766127916,1.89E-08,7.64E-06,9.283980193
MIR_342_3P,0.443826648,-0.05499461,6.759803068,1.93E-08,7.64E-06,9.262984178
GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.514908912,-0.068331508,6.744497426,2.04E-08,7.64E-06,9.212172465
MIR_670_3P,0.431687001,-0.056693485,6.740123999,2.07E-08,7.64E-06,9.1976528
GOBP_ZINC_ION_TRANSPORT,0.559219241,-0.058496602,6.707028954,2.32E-08,8.13E-06,9.087768192
MIR_7034_3P,0.352803214,-0.039462704,6.702037788,2.36E-08,8.13E-06,9.071194739
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,0.426285039,-0.055232574,6.686712833,2.49E-08,8.13E-06,9.020305241
MIR_6983_5P,0.296030272,-0.016519987,6.669264862,2.65E-08,8.13E-06,8.962362277
MIR_12202_3P,0.313423499,-0.048676713,6.666766062,2.67E-08,8.13E-06,8.954063726
GOCC_PRESYNAPTIC_ENDOCYTIC_ZONE,0.609732652,-0.098201826,6.665431424,2.69E-08,8.13E-06,8.949631342
GOBP_SYNAPTIC_VESICLE_ENDOSOMAL_PROCESSING,0.835489952,-0.112629761,6.66197697,2.72E-08,8.13E-06,8.938158885
MIR_199A_5P_MIR_199B_5P,0.420152998,-0.061953789,6.641993709,2.92E-08,8.35E-06,8.871790855
GOBP_SINGLE_STRAND_BREAK_REPAIR,0.879024477,-0.112056263,6.639418,2.94E-08,8.35E-06,8.863236181
GOCC_CILIARY_BASAL_BODY,0.378780143,-0.055561512,6.594199778,3.44E-08,9.53E-06,8.713045202
MIR_7678_3P,0.404415722,-0.059485231,6.58357749,3.57E-08,9.65E-06,8.6777618
GOBP_PORE_COMPLEX_ASSEMBLY,0.847998183,-0.098826257,6.560414215,3.88E-08,9.94E-06,8.600820256
GOBP_PROTEIN_O_LINKED_GLYCOSYLATION,0.430190271,-0.054711621,6.556775638,3.93E-08,9.94E-06,8.588733843
MIR_7031_5P,0.391956049,-0.044900805,6.554861413,3.95E-08,9.94E-06,8.582375271
GOBP_REGULATION_OF_MITOPHAGY,0.734435106,-0.085362917,6.542972248,4.12E-08,9.99E-06,8.542882343
WP_GPCRS_CLASS_A_RHODOPSINLIKE,-0.47600757,0.070223914,-6.539174918,4.17E-08,9.99E-06,8.530268498
MIR_6990_5P,0.492068963,-0.053600663,6.534441155,4.24E-08,9.99E-06,8.514544034
GOBP_REGULATION_OF_GAP_JUNCTION_ASSEMBLY,-1.014948341,0.207444725,-6.520371985,4.46E-08,1.02E-05,8.467809533
REACTOME_ZINC_TRANSPORTERS,0.702525076,-0.079076053,6.515982774,4.53E-08,1.02E-05,8.453229633
GOBP_BLASTOCYST_GROWTH,0.780331064,-0.096364065,6.511975022,4.59E-08,1.02E-05,8.439916869
HALLMARK_HEME_METABOLISM,0.477992901,-0.072370046,6.47384053,5.24E-08,1.12E-05,8.313245746
MIR_7011_3P,0.49711934,-0.069947553,6.464946299,5.41E-08,1.12E-05,8.283702721
GOBP_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_PROCESS,0.564497329,-0.095141618,6.464322071,5.42E-08,1.12E-05,8.281629304
MIR_7032_5P,0.470538963,-0.047213748,6.461860789,5.47E-08,1.12E-05,8.273454013
DESCARTES_ORGANOGENESIS_OLIGODENDROCYTE_PROGENITORS,-0.677430796,0.190680539,-6.457059103,5.56E-08,1.12E-05,8.257505041
GOBP_GLIAL_CELL_APOPTOTIC_PROCESS,0.670738087,-0.068761689,6.435459486,5.99E-08,1.18E-05,8.185763153
GOBP_SYNAPTIC_VESICLE_RECYCLING,0.383173612,-0.072181921,6.413294278,6.48E-08,1.24E-05,8.112146792
GOBP_PROTEIN_LOCALIZATION_TO_MICROTUBULE_ORGANIZING_CENTER,0.689163913,-0.087297107,6.411979629,6.51E-08,1.24E-05,8.107780657
MIR_7028_3P,0.358998102,-0.06535086,6.399830169,6.79E-08,1.25E-05,8.067431457
GOBP_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS,0.612768676,-0.112819781,6.395099887,6.90E-08,1.25E-05,8.051722321
MIR_12196_3P,0.442693267,-0.053681639,6.392551965,6.96E-08,1.25E-05,8.043260851
MIR_7013_3P,0.443515485,-0.060158535,6.391493028,6.99E-08,1.25E-05,8.039744219
MIR_335_5P,0.379940422,-0.033329278,6.38736278,7.09E-08,1.25E-05,8.02602818
REACTOME_RHOG_GTPASE_CYCLE,0.586136264,-0.104139031,6.376354041,7.37E-08,1.26E-05,7.989470613
