"","GSVA_score","AveExpr","t","P.Value","adj.P.Val","B","logP"
"BAUS_TFF2_TARGETS_UP",-0.649017782941692,-0.00420155979644911,-7.40500181534666,1.85505718376736e-09,1.65251383298988e-05,11.3602164528725,8.73164269833366
"GOMF_RAGE_RECEPTOR_BINDING",-0.790988020645464,0.0172013404868446,-7.27160684013289,2.95963792064096e-09,1.65251383298988e-05,10.927101325818,8.52876141687556
"GOMF_RETINAL_DEHYDROGENASE_ACTIVITY",0.748894655683283,0.0145348844800009,6.45526841856355,5.21727755856151e-08,0.000137261312079569,8.25964224712223,7.28255605824692
"GOBP_CORTICOSTEROID_HORMONE_SECRETION",0.483345804534707,-0.0147454006796885,6.38032444095903,6.790782327807e-08,0.000137261312079569,8.01413981490981,7.16808019021465
"GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",-0.702565073583922,0.0118328260540537,-6.36746380945401,7.10493123381462e-08,0.000137261312079569,7.97201440603347,7.14844012110307
"GOBP_LEUKOCYTE_DEGRANULATION",-0.564555589585661,-0.0288501224089307,-6.34648651951057,7.64877831618126e-08,0.000137261312079569,7.90330605960984,7.11640792601121
"GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION",-0.760602314345146,-0.0248089420790526,-6.31300468656968,8.60418361741723e-08,0.000137261312079569,7.7936514398203,7.06529033013253
"GOBP_GRANULOCYTE_ACTIVATION",-0.628629157312051,-0.0102294099653537,-6.27045392782919,9.99206443508221e-08,0.000139476729433204,7.65431951286632,7.00034477402239
"GOBP_NEUTROPHIL_DEGRANULATION",-0.739664544190763,-0.0405681942199265,-6.20157208803499,1.27274380882771e-07,0.000157919223479767,7.42884093324864,6.89525900688029
"GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION",-0.735318678600485,-0.0169457126306404,-6.08024428172851,1.94830196552156e-07,0.000217566880489793,7.03199498688993,6.71034373134014
"REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR",-0.7750979464975,-0.0433405633206129,-6.03282534340492,2.30065701556116e-07,0.000228568379950867,6.87703346806467,6.63814812159728
"GOBP_NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION",-0.634910007030536,-0.0566686796583084,-6.01415731942608,2.45618389846011e-07,0.000228568379950867,6.81605315598493,6.60973911998342
"GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY",-0.46160015855829,-0.0189553535700074,-5.9399626017185,3.1848590971745e-07,0.00027357939644729,6.57384996166162,6.49690977672682
"WP_MAPK_CASCADE",-0.729512614356068,-0.0552252174462771,-5.91525060318467,3.4724803163773e-07,0.000276979912092753,6.49324085379068,6.45936020736513
"GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS",-0.609941305791796,0.0363904946009356,-5.84626812817006,4.41946406627714e-07,0.000303321348205735,6.26840597944037,6.35463039290668
"SOX13_TARGET_GENES",-0.552742476347864,-0.0317887360310501,-5.83334367680429,4.62355864147146e-07,0.000303321348205735,6.22631313908279,6.33502362976096
"REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE",-0.621531539882194,-0.0400039242784313,-5.804101082482,5.12058354685421e-07,0.000303321348205735,6.1311144412295,6.29068054356762
"GOBP_REGULATION_OF_LEUKOCYTE_DEGRANULATION",-0.589587707541725,-0.0291113021859362,-5.80306126854853,5.13920246267244e-07,0.000303321348205735,6.12773038618578,6.28910427262629
"BIOCARTA_RAS_PATHWAY",-0.851843676452532,-0.0349329601440778,-5.80185778677703,5.16083604899163e-07,0.000303321348205735,6.12381376790828,6.28727993751002
"GOBP_POSITIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION",-0.4815693190414,0.0128290415595326,-5.77825997262073,5.60379446515481e-07,0.000312887863961919,6.04703684758282,6.25151780205972
"GOBP_XENOPHAGY",-0.802090017873776,-0.0308112498444943,-5.75252164941363,6.1300990963158e-07,0.000317989244077308,5.9633401551589,6.2125325048233
"WP_IL5_SIGNALING_PATHWAY",-0.761661143244323,-0.0464114681989216,-5.73548147783026,6.50527427027036e-07,0.000317989244077308,5.90795486360626,6.18673438833315
"GOCC_SNARE_COMPLEX",-0.581905778121531,-0.0401446667908926,-5.7335403606426,6.54943370088482e-07,0.000317989244077308,5.9016470635787,6.18379624981176
"GOBP_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION",-0.593266003417451,-0.0602975839235105,-5.68920064478107,7.64331158628326e-07,0.000338355528623736,5.75764080293586,6.11671843565967
"ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN",-0.633347791669048,-0.0471337850827474,-5.68447006531619,7.770229920002e-07,0.000338355528623736,5.74228600572698,6.10956613029679
"GOCC_WASH_COMPLEX",-0.841801209423788,-0.0671910438821249,-5.67870893765303,7.92762640658362e-07,0.000338355528623736,5.72358864151092,6.10085682438835
"GOBP_POSITIVE_REGULATION_OF_NEUTROPHIL_ACTIVATION",-0.640143478767359,0.00161731204580957,-5.66943827784912,8.1875765570576e-07,0.000338355528623736,5.693507017648,6.08684462615714
"GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY",-0.530141997066557,-0.0286750014148595,-5.65100958171747,8.72971181848345e-07,0.000338355528623736,5.63373042475116,6.05900009280167
"GOBP_NEUTROPHIL_MEDIATED_IMMUNITY",-0.457480519236769,-0.0164754525272861,-5.6441167136546,8.94151747755589e-07,0.000338355528623736,5.61137961457401,6.04858877021939
"GOBP_VACUOLAR_LOCALIZATION",-0.522517291964585,-0.0319125294906765,-5.63731185349564,9.15562112656548e-07,0.000338355528623736,5.58931817635934,6.03831218738745
"GOCC_PHAGOPHORE_ASSEMBLY_SITE_MEMBRANE",-0.900663122056578,-0.033108208208113,-5.62995335274312,9.3928730969247e-07,0.000338355528623736,5.56546634256167,6.02720154519005
